2016-07-27 10:34:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:34:25 >>成功执行实时监控
2016-07-27 10:34:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:35:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:36:25 >>触发定时作业
2016-07-27 10:36:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:36:25 >>成功执行实时监控
2016-07-27 10:36:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:37:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:38:25 >>触发定时作业
2016-07-27 10:38:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:38:25 >>成功执行实时监控
2016-07-27 10:38:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:39:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:40:25 >>触发定时作业
2016-07-27 10:40:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:40:25 >>成功执行实时监控
2016-07-27 10:40:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:41:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:42:25 >>触发定时作业
2016-07-27 10:42:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:42:25 >>成功执行实时监控
2016-07-27 10:42:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:43:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:44:25 >>触发定时作业
2016-07-27 10:44:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:44:25 >>成功执行实时监控
2016-07-27 10:44:25 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:45:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:46:25 >>触发定时作业
2016-07-27 10:46:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:46:25 >>成功执行实时监控
2016-07-27 10:46:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:47:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:48:25 >>触发定时作业
2016-07-27 10:48:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:48:25 >>成功执行实时监控
2016-07-27 10:48:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:49:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:50:25 >>触发定时作业
2016-07-27 10:50:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:50:25 >>成功执行实时监控
2016-07-27 10:50:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:51:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:52:25 >>触发定时作业
2016-07-27 10:52:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:52:25 >>成功执行实时监控
2016-07-27 10:52:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:53:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:54:25 >>触发定时作业
2016-07-27 10:54:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:54:25 >>成功执行实时监控
2016-07-27 10:54:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:55:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:56:25 >>触发定时作业
2016-07-27 10:56:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:56:25 >>成功执行实时监控
2016-07-27 10:56:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:57:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:58:25 >>触发定时作业
2016-07-27 10:58:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 10:58:25 >>成功执行实时监控
2016-07-27 10:58:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 10:59:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:00:25 >>触发定时作业
2016-07-27 11:00:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:00:25 >>成功执行实时监控
2016-07-27 11:00:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:01:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:02:25 >>触发定时作业
2016-07-27 11:02:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:02:25 >>成功执行实时监控
2016-07-27 11:02:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:03:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:04:25 >>触发定时作业
2016-07-27 11:04:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:04:25 >>成功执行实时监控
2016-07-27 11:04:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:05:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:06:25 >>触发定时作业
2016-07-27 11:06:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:06:25 >>成功执行实时监控
2016-07-27 11:06:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:07:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:08:25 >>触发定时作业
2016-07-27 11:08:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:08:25 >>成功执行实时监控
2016-07-27 11:08:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:09:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:10:25 >>触发定时作业
2016-07-27 11:10:25 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:10:26 >>成功执行实时监控
2016-07-27 11:10:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:11:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:12:26 >>触发定时作业
2016-07-27 11:12:26 >>读取访问地址：http://localhost:41520/timingplan/index?execprocess=plan2
2016-07-27 11:12:26 >>成功执行实时监控
2016-07-27 11:12:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:13:26 >>读取G:\公司项目\wl16071701\www\JN.Web\TimingPlan\Plan.xml(1条作业)
2016-07-27 11:14:26 >>触发定时作业
